year,month,day,CO,NO2,O3,PM10,PM25,SO2,airpressure,dewpoint_temp,humi,sealevelpressure,temp,date,delay_snow,delay_wind,delay_rain,delay_visibility,delay_cloud,delay_typhoon,delay_fairway,delay_other,cancel_snow,cancel_wind,cancel_rain,cancel_visibility,cancel_cloud,cancel_typhoon,cancel_fairway,cancel_other,delay_sum,cancel_sum,tot
2018,3,3,0.5625000000000001,0.03920833333333335,0.017541666666666674,55.8125,21.583333333333332,0.007000000000000003,1013.8375000000001,-8.7125,39.541666666666664,1014.6583333333334,5.783333333333332,2018-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,9,0.7374999999999998,0.021208333333333333,0.028125000000000015,44.0,26.0,0.0040833333333333355,1022.8708333333333,-2.2875,65.875,1023.7208333333333,3.712499999999999,2018-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,10,0.5583333333333333,0.025125000000000012,0.024333333333333335,31.75,16.229166666666668,0.0054166666666666695,1023.7500000000001,-0.9333333333333331,74.125,1024.5874999999999,3.4125,2018-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,11,0.6291666666666665,0.016750000000000004,0.03616666666666669,56.0,34.083333333333336,0.003958333333333335,1025.2166666666667,0.3166666666666668,78.08333333333333,1026.0666666666666,4.033333333333333,2018-03-11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
2018,3,12,0.9250000000000002,0.03462500000000001,0.02925000000000001,80.70833333333333,42.25,0.006500000000000002,1022.3375000000001,-0.425,70.20833333333333,1023.1750000000001,5.412499999999999,2018-03-12,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0
2018,3,13,0.6291666666666667,0.028416666666666677,0.028166666666666673,43.416666666666664,21.083333333333332,0.006708333333333337,1018.0458333333331,4.216666666666667,66.875,1018.8458333333334,10.362499999999999,2018-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,14,0.4708333333333334,0.021083333333333343,0.029500000000000012,33.375,13.333333333333334,0.006000000000000002,1018.2416666666668,8.045833333333333,65.66666666666667,1019.0416666666666,14.549999999999999,2018-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,18,0.5562499999999999,0.018666666666666675,0.033291666666666685,38.333333333333336,22.354166666666668,0.005416666666666668,1021.5666666666666,0.22083333333333335,65.20833333333333,1022.3666666666667,6.508333333333334,2018-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,23,0.708333333333333,0.02541666666666668,0.036541666666666674,52.833333333333336,29.75,0.006500000000000002,1019.0875,-0.5416666666666666,70.70833333333333,1019.8916666666665,4.762499999999999,2018-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,24,0.8333333333333334,0.029333333333333347,0.03558333333333334,76.33333333333333,45.625,0.007875000000000002,1021.9291666666667,2.3791666666666673,81.33333333333333,1022.7291666666665,5.404166666666666,2018-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,25,1.0374999999999999,0.024416666666666673,0.05625000000000002,104.54166666666667,66.95833333333333,0.006041666666666667,1024.5916666666667,2.3041666666666667,84.25,1025.4,4.841666666666666,2018-03-25,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
